epoch       	ep_ret      	ep_ret_tx      	ep_tx       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	6.905314749010637	10.66809828837703	744847168.800035	381787302.17526054	0.0	0	710341.6145325038
1	6.984181391277783	10.675728725616848	698885345.8115602	440525255.5349504	0.0	0	666509.0044131853
2	10.338570984314723	15.264184987280583	664295981.8072783	452168011.4019032	0.0	0	633522.016341475
3	7.197655010495852	10.865588706381342	589757867.7232268	385782095.59596336	0.0	0	562436.9313461562
4	8.316231841391033	12.21606430425774	710893443.1810359	435979809.8151262	0.0	0	677960.8184633595
5	10.244606834576553	15.66520560559388	674880705.0342495	480450264.45865834	0.0	0	643616.3950293058
6	9.321748259291073	13.849953073236263	639091195.4888928	473998633.83970374	0.0	0	609484.858979123
7	9.513911035412733	14.031452527121019	674687883.3173233	442573224.42028415	0.0	0	643432.5059102279
8	10.519994999394996	16.029775980154334	623337595.0895678	450121487.3235014	0.0	0	594461.0548873591
9	8.951145141290835	13.548344604680741	562641471.1277757	473965823.54562837	0.0	0	536576.7203595883
10	12.908455319207892	19.137577612339356	644617901.5574558	401703543.48682696	0.0	0	614755.5366110378
11	13.983692888084898	20.568474029949424	700206181.8812168	467609566.2244948	0.0	0	667768.6518489998
12	13.860513450280894	20.016474402375835	679007605.8835741	480497894.0179628	0.0	0	647552.114375662
13	14.923739390860677	22.472091296839785	729462910.9977225	423528876.9649935	0.0	0	695670.0429894665
14	7.122086839113167	10.540187184809653	487622836.4714473	424934762.946157	0.0	0	465033.3752359839
15	11.113522147664046	17.239253409128104	731292370.937937	435625647.0627709	0.0	0	697414.7519473427
16	10.835154291908985	15.82243380278248	765873786.3997008	412388995.9936241	0.0	0	730394.1596982009
17	10.422777429920801	15.655664154838176	623459215.2750453	524904865.6507054	0.0	0	594577.0409346061
18	12.155393546301024	18.065128558004993	772026895.3821099	545662805.9433086	0.0	0	736262.2217007726
19	9.566097807950905	14.231112038757173	719225987.4650595	423627950.7593069	0.0	0	685907.3519373508
20	12.737675033317535	19.451369166809105	756118281.4974813	439608008.4743571	0.0	0	721090.585229379
21	15.33269960751229	22.42175960925178	708125268.8715492	444006153.28910273	0.0	0	675320.8817210664
22	10.517826999436506	16.045382391230476	541399373.8180664	461340301.00129986	0.0	0	516318.67772871605
23	9.698143490092846	14.19839433215128	557346583.2798083	378744246.3100186	0.0	0	531527.1218107302
24	13.77529286013555	19.70420771008953	642014472.9251518	433871999.77272236	0.0	0	612272.713589813
25	14.36592517094964	21.722861471764872	748091157.7716821	475081273.4251052	0.0	0	713435.3234974693
26	10.80515747020936	16.846417342345728	704626835.969104	518959431.3757746	0.0	0	671984.5161143341
27	15.40273709076361	22.555981691938598	714091940.2047304	524810149.8255078	0.0	0	681011.1429259591
28	7.659450987738623	12.067823547804721	425519718.40304226	506880515.7154159	0.0	0	405807.2265654011
29	12.498585955942032	18.18848377703901	728245256.1339676	421318849.21175855	0.0	0	694508.7968196559
30	14.128491111223644	21.5286625588286	645691204.7492324	492600606.26103693	0.0	0	615779.118298752
31	13.031869662393502	19.89826599883676	705313053.9554534	480466676.3720045	0.0	0	672638.9445833714
32	17.444820882256575	26.3219957378489	774406935.1409289	495268161.74569917	0.0	0	738532.0044907845
33	14.96003452119202	22.78661085337705	769509852.1554269	486406214.9095126	0.0	0	733861.782222201
34	5.8918185568709776	9.081419359380526	612990916.3460015	447172554.0878841	0.0	0	584593.6931095137
35	10.75138415518208	16.41852593209153	464298172.69643587	496228046.71972704	0.0	0	442789.2424549446
36	9.01000492098746	13.252837168851872	579293908.0967934	420297191.12348884	0.0	0	552457.7218025147
37	11.467925842049802	17.01154515427061	615675249.6834733	441573699.8578585	0.0	0	587153.6728701338
