epoch       	ep_ret      	ep_ret_sa      	ep_ret_bs      	ep_tx       	ep_tx_sa       	ep_tx_bs       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	39.40851792039278	39.40851792039278	32.184460415374765	910770928.11045	474674827.50907147	436096100.6013784	1002365402.8707805	0.0	0	452685.19163996837
1	35.8297723717853	35.8297723717853	29.62682064320345	782872743.3898953	444678125.09901804	338194618.2908774	1076369232.8159137	0.0	0	424078.10697461874
2	37.352230229235964	37.352230229235964	30.46566229714999	861983688.5440667	452072863.2341052	409910825.3099616	1010758338.08275	0.0	0	431130.2788106014
3	37.05585736727664	37.05585736727664	36.85710309758462	774208943.90132	445435328.90564364	328773614.9956765	1008756260.6379931	0.0	0	424800.23279728275
4	38.60082871135713	38.60082871135713	37.081271232644646	848729790.488761	482338982.67841375	366390807.81034726	1037147719.6830094	0.0	0	459994.29958192253
5	33.835547374945925	33.835547374945925	22.881055073352048	736725155.472283	439424898.2715206	297300257.20076233	1125534610.2557049	0.0	0	419068.2394709783
6	35.288694492005625	35.288694492005625	25.482510275380115	606927619.5928969	425109393.1571051	181818226.43579185	1065821020.9728514	0.0	0	405415.90991697775
7	36.15513969577135	36.15513969577135	33.27806251253239	873098259.6433599	457404396.89231956	415693862.7510401	1151281267.466986	0.0	0	436214.82552749594
8	31.382983482720284	31.382983482720284	27.66835196152159	684426371.1460899	398700673.6589889	285725697.4871009	1106135072.462786	0.0	0	380230.5924024478
9	38.5186092785707	38.5186092785707	32.13200094701533	761206277.3739067	475839296.48569506	285366980.88821167	1011996483.7227215	0.0	0	453795.715795226
