epoch       	ep_ret      	ep_ret_sa      	ep_ret_bs      	ep_tx       	ep_tx_sa       	ep_tx_bs       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	27.454673463749057	33.860484246669145	29.385592527696346	714341702.9227259	425217910.0429636	289123792.8797622	1034319883.316602	0.0	0	405519.3996839179
1	31.517764069941038	38.302829671080005	36.15533082856751	835087010.1745547	487116461.86581486	347970548.3087399	1110147064.8488672	0.0	0	464550.45878011215
2	28.553733481556677	34.554168473588454	33.02300654872641	856661936.1602725	442221484.30477834	414440451.855494	1014294333.6559666	0.0	0	421735.2717445167
3	28.71819067171263	34.40095414070193	32.60515511733307	798580879.330352	441425709.67203707	357155169.65831506	1073742825.727017	0.0	0	420976.36191562354
4	27.651542720707617	34.281322549213236	33.707539408649716	800997378.1161933	428716120.01205754	372281258.1041357	1103955838.5418293	0.0	0	408855.5526848389
5	29.44738545996788	37.1748592574869	29.044261540646104	877415766.0006473	452202484.0300426	425213281.97060484	985695821.8744906	0.0	0	431253.89483455895
6	31.933567036496182	37.84349940137469	32.389815153701186	909989827.2144306	490550863.6431536	419438963.57127637	1026331040.251937	0.0	0	467825.75954738003
7	28.84496317312401	36.13014824851441	34.415993775719926	957222399.0298096	443358180.87832224	513864218.1514873	1046228562.3156679	0.0	0	422819.31007225247
8	32.88156296980931	39.475709576030376	32.337769688994754	915713802.229345	508341035.05648375	407372767.17286116	1063438371.014095	0.0	0	484791.78910873766
9	27.604882939158635	32.94054552616252	24.3474151477285	720469394.2160915	426918113.4219242	293551280.7941672	1151460086.5146618	0.0	0	407140.8399790994
10	31.135792777181656	37.52400532836555	34.10402158229742	813554059.814002	479925012.6242771	333629047.1897248	1077091966.8134406	0.0	0	457692.1583407184
11	31.128869554698685	37.832559048678704	31.518063237843965	821658975.0186737	479106208.0800181	342552766.93865573	1135739943.6464415	0.0	0	456911.2854767017
12	28.587480572806427	34.61356471278446	31.910123483468123	869538939.6161492	441809312.27888775	427729627.33726144	1101910306.1550856	0.0	0	421342.19386948366
13	30.877309089277748	35.80077112097273	33.92547118671629	898568673.7830572	476105433.3172621	422463240.46579516	1140938415.0703552	0.0	0	454049.52365614136
14	31.5152619532336	37.25361393148498	32.559983262331286	832521483.7420608	485458663.26181704	347062820.4802439	1109131127.7515152	0.0	0	462969.4588297053
15	30.236555818634997	35.50349046996841	32.97820389203093	904957705.4194977	465977906.7925523	438979798.6269451	1091967121.5385387	0.0	0	444391.16172080237
16	32.978647874971884	38.387400975379244	39.947596891753584	960184784.09397	509970342.6831832	450214441.41078657	1148625094.0545652	0.0	0	486345.6179458458
17	31.572857836637194	36.21323501776739	32.908856961098685	867995057.7971586	487008551.91872454	380986505.87843424	1114984411.491193	0.0	0	464447.5478350872
18	30.667415091088916	35.3132137597755	40.81926177151117	990018620.1939487	475756028.12693584	514262592.0670129	1089090452.9250998	0.0	0	453716.3049001083
19	31.76222755591447	37.43658424311065	33.009281321220264	835494857.9732131	491631218.60535717	343863639.3678561	1102332574.3169065	0.0	0	468856.0663274355
20	25.849382946632314	31.14054579416353	33.0873537701047	778803365.4696171	397411797.92029226	381391567.5493247	1011609377.1729957	0.0	0	379001.42471341364
21	27.571370142603634	33.68933354479035	29.751351393439844	626596533.1411337	425783810.7228282	200812722.41830558	1116433815.5137134	0.0	0	406059.0846279412
22	34.337556798508935	41.19584494828247	31.527629886410963	835283188.3078635	532020301.6551417	303262886.6527219	1113281291.485476	0.0	0	507374.09749521426
23	28.45273682798274	34.46470034966385	26.03607937192723	717004441.5467132	437961198.0939245	279043243.4527888	1033352936.1300929	0.0	0	417672.34620468586
24	31.23886370454	37.834424632753496	34.07935363046701	996288711.6663396	482517911.4863353	513770800.18000436	1059021182.3128827	0.0	0	460164.9393905023
