epoch       	ep_ret      	ep_ret_sa      	ep_ret_bs      	ep_tx       	ep_tx_sa       	ep_tx_bs       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	36.62859656835913	36.62859656835913	33.16421042289868	802409133.4933386	470768303.41862047	331640830.0747179	1043381603.5089222	0.0	0	448959.6399484829
1	38.816631784713095	38.816631784713095	30.19048675980587	866664129.5640148	492488904.92404675	374175224.63996816	1053541466.9363788	0.0	0	469674.01974110276
2	36.38458248723485	36.38458248723485	28.47715854125026	691707900.7328161	439831586.67191696	251876314.0608995	1018689375.7908945	0.0	0	419456.0877532167
3	36.02023292262947	36.02023292262947	34.47099711832678	826926308.9610691	445254788.0642344	381671520.8968347	956498460.8002284	0.0	0	424628.05563376856
4	39.86142943165722	39.86142943165722	36.31115796699341	839368596.9286752	468348299.45915323	371020297.46952194	1015884297.7702123	0.0	0	446651.7443267375
5	37.30725923433066	37.30725923433066	31.61184382333403	761951470.0943834	446483157.3268496	315468312.767534	1016597627.3063492	0.0	0	425799.51985058736
6	36.53026331600633	36.53026331600633	33.463906841416794	888549124.5446603	473044781.8942181	415504342.6504422	1041147177.2385439	0.0	0	451130.65900251205
7	38.02998997544134	38.02998997544134	36.10939522995569	846343158.8946509	489700729.44659746	356642429.4480536	1105718929.6170309	0.0	0	467015.0083986256
8	40.23627257647531	40.23627257647531	33.39014651943145	800810645.0985609	504475516.8845928	296335128.213968	1083585981.9950523	0.0	0	481105.34370860376
9	35.83879184127737	35.83879184127737	25.413459512541035	631912533.980197	443096712.42912686	188815821.55107018	1020457244.7327595	0.0	0	422569.9543277043
10	41.02405620769237	41.02405620769237	36.44591456692254	918291571.6952181	517201761.784362	401089809.91085577	1038721899.3246869	0.0	0	493242.0366138095
11	36.04181864698917	36.04181864698917	29.532572434290884	834075063.5027682	430693608.779723	403381454.723045	938913156.948503	0.0	0	410741.43293354317
12	32.13438511419972	32.13438511419972	34.905134718408505	786321234.2542583	377852822.3412699	408468411.91298836	999455130.5756224	0.0	0	360348.53204848274
13	42.80242272033894	42.80242272033894	33.77686587631255	1045668808.7899532	555843013.2742165	489825795.5157367	1102884915.6431458	0.0	0	530093.2057134787
14	32.846496827552976	32.846496827552976	31.239211491209772	698464052.7873847	419228230.2508975	279235822.53648746	1080594235.8222628	0.0	0	399807.19590272673
15	36.17780773624749	36.17780773624749	36.30932660250829	871480143.1444916	434113876.7133644	437366266.431127	1004869189.1155485	0.0	0	414003.2546170849
16	37.71455224135017	37.71455224135017	34.468659895598606	967912752.4609561	463887783.0596253	504024969.40133107	1080838275.829327	0.0	0	442397.8643985988
17	36.47911751009636	36.47911751009636	30.07351981428628	728062177.1454965	436795742.7098041	291266434.43569213	1015764830.6829205	0.0	0	416560.8813379327
18	32.89582354095434	32.89582354095434	29.518560308766062	756881805.8320765	395290544.9383631	361591260.89371324	1008846787.6184145	0.0	0	376978.4402259475
19	28.687048148526706	28.687048148526706	31.38594206659518	809321415.3621154	318724327.01950777	490597088.3426075	954300672.5593405	0.0	0	303959.2046923712
20	38.81710100836484	38.81710100836484	33.053080351265955	862967424.0176351	443029437.5862064	419937986.431429	966013721.7448725	0.0	0	422505.79603787075
