epoch       	ep_ret      	ep_ret_sa      	ep_ret_bs      	ep_tx       	ep_tx_sa       	ep_tx_bs       	newbytes    	ep_delay   	ep_delay_normal   	ep_throu   
0	6.516177510552311	40.634495915464484	32.678385750288165	750456378.5937669	537083795.9610348	213372582.63273183	409268498.18369687	0.0	0	512203.02196601394
1	6.481690784511723	40.42501692350334	31.976394735401534	772324593.3263696	533110849.56697184	239213743.75939775	425432114.83994496	0.0	0	508414.125029537
2	4.576165080814233	38.83330336874995	33.505527737974525	743461278.2430445	504917741.8185775	238543536.42446715	405663652.870518	0.0	0	481527.0822702193
3	7.1769764546365895	40.53275377573168	33.3742821298582	760810220.9326049	520590593.9778536	240219626.95475113	409826615.05705905	0.0	0	496473.87883935333
4	11.147277996216866	39.15058139569724	32.68618571580004	751610776.0352834	512367246.5300445	239243529.5052388	418694199.7385632	0.0	0	488631.48358349275
5	7.402111222038697	38.13805162141505	32.64182388063199	736788889.4170431	504937211.97883016	231851677.4382125	406946674.334435	0.0	0	481545.65046198876
6	9.230323604975633	39.43895651963036	31.730976976428966	760479366.9940578	528597883.1787209	231881483.8153369	424712480.20416003	0.0	0	504110.2248942574
7	10.113540293665356	38.17186441931485	31.575273040565413	744613025.3247718	513869254.1631701	230743771.16160175	402245721.3746542	0.0	0	490063.9096862508
8	13.107026739568077	38.61753674406264	32.00405176577525	747192208.2377183	522535912.7669697	224656295.47074884	433757704.5933173	0.0	0	498329.0794057555
9	12.65234742179996	40.013062452470955	31.680728958491283	777616532.0959159	537393324.3293552	240223207.76656052	442525214.43104535	0.0	0	512498.2112210802
10	6.821432261815392	39.29170210146508	31.089570598429695	776355441.0490321	532479303.231927	243876137.81710514	402880803.03938717	0.0	0	507811.83551018406
11	9.99059891045736	39.8076218849289	31.673316028007974	754996610.3226125	518394462.5453597	236602147.77725282	421579712.58404374	0.0	0	494379.48469673115
12	12.292621150778762	40.58020654459581	31.974758805042036	779598287.4494487	548272669.099442	231325618.35000688	426844719.8070288	0.0	0	522873.5629076407
13	7.996911706346009	38.906849090872555	32.565858510043206	780864725.5854955	536563421.8416647	244301303.74383092	438194627.52890474	0.0	0	511706.75453344773
14	12.750364487364454	40.318546497530114	32.410633471722484	788059404.2362648	550787648.7193185	237271755.51694643	468162167.8706858	0.0	0	525272.0343774017
15	14.770893715067098	40.7447432752305	33.259036314812555	799215457.6907264	557295222.355735	241920235.33499146	452088640.3754294	0.0	0	531478.1402165745
16	11.8548574519004	38.57077402300616	33.588992134177495	768493110.5771896	528044683.73107874	240448426.84611088	447045664.5389921	0.0	0	503582.6527891909
